Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms,label
914.776,10,10,6693,669.3,86,1294,584.625,9,914.776,101.642,0.0,314.381,143.19,0
102.716,6,6,510,85.0,60,204,53.263,5,102.716,20.543,0.282,100.083,39.773,1
0.0,1,1,154,154.0,154,154,0.0,0,0.0,0.0,0.0,0.0,0.0,0
80407.372,25,25,25550,1022.0,54,1514,649.197,24,80407.372,3350.307,0.001,61351.763,12660.351,1
781.8,10,10,3352,335.2,66,1354,448.893,9,781.8,86.867,0.016,322.084,129.098,0
0.0,1,1,76,76.0,76,76,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,160,160.0,160,160,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,75,75.0,75,75,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,79,79.0,79,79,0.0,0,0.0,0.0,0.0,0.0,0.0,0
96.316,6,6,886,147.667,54,604,204.126,5,96.316,19.263,0.052,88.5,34.664,1
328.849,13,13,8946,688.154,93,1292,564.344,12,328.849,27.404,0.001,119.446,45.351,0
430.361,12,12,875,72.917,60,209,41.064,11,430.361,39.124,0.214,181.632,64.852,1
0.0,1,1,84,84.0,84,84,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,138,138.0,138,138,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,95,95.0,95,95,0.0,0,0.0,0.0,0.0,0.0,0.0,0
10.896,5,5,455,91.0,60,209,59.046,4,10.896,2.724,0.071,5.306,2.576,1
0.0,1,1,72,72.0,72,72,0.0,0,0.0,0.0,0.0,0.0,0.0,1
60026.409,6,6,642,107.0,60,336,102.435,5,60026.409,12005.282,0.302,59967.369,23981.05,1
0.0,1,1,87,87.0,87,87,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,96,96.0,96,96,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,80,80.0,80,80,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,103,103.0,103,103,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,140,140.0,140,140,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,54,54.0,54,54,0.0,0,0.0,0.0,0.0,0.0,0.0,0
318.189,2,2,132,66.0,66,66,0.0,1,318.189,318.189,318.189,318.189,0.0,0
0.0,1,1,95,95.0,95,95,0.0,0,0.0,0.0,0.0,0.0,0.0,0
100.649,6,6,510,85.0,60,204,53.263,5,100.649,20.13,0.226,98.121,38.998,1
0.0,1,1,160,160.0,160,160,0.0,0,0.0,0.0,0.0,0.0,0.0,0
69959.035,6,6,521,86.833,60,215,57.36,5,69959.035,13991.807,0.073,69944.301,27976.247,1
0.0,1,1,101,101.0,101,101,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,85,85.0,85,85,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,96,96.0,96,96,0.0,0,0.0,0.0,0.0,0.0,0.0,0
